Node_Config Probability Error
01110111111011100011111101 0.000726 0.000020
00001010010101111100001100 0.000053 0.000010
00101100111111111000001101 0.002123 0.000039
10000010000101010100101100 0.000005 0.000005
00101000111111111000000101 0.005099 0.000086
11110111111010000011111011 0.000071 0.000005
11000101000000000111110011 0.001488 0.000055
10011110000100011100001100 0.000006 0.000002
00110111111111111000001001 0.001165 0.000049
10001000000100111100000010 0.000700 0.000050
00101110110111111000000001 0.000187 0.000033
00101010111111111000001001 0.001941 0.000092
11010001001000000111110011 0.000686 0.000017
00111010111111111100001101 0.000018 0.000005
11001001000000000111110111 0.001227 0.000006
01100101110011100011110001 0.000001 0.000002
00100010111011110001111101 0.000001 0.000002
01110111111011101010001010 0.000096 0.000014
01010111011001000011111011 0.000074 0.000007
10001000000100111100001101 0.000005 0.000004
11111011001010001110111110 0.000004 0.000005
10111011100100111100001001 0.000003 0.000004
11000101000000000111110110 0.001176 0.000048
11011011000000000111110110 0.000229 0.000015
01111011111111101010001011 0.000018 0.000009
11000001001000000111110111 0.000646 0.000003
00100100111111111000000000 0.005449 0.000046
01110101111011000011110000 0.000069 0.000008
00001000000100011100000110 0.000023 0.000009
00001000000100011100000101 0.000127 0.000008
11010001001000000111110010 0.000715 0.000079
01110111111011101011011001 0.000379 0.000012
00110111111111111000001000 0.001233 0.000024
00001000000100111100000001 0.000513 0.000031
10101000001100111100000110 0.000045 0.000004
00000110111111111000001000 0.000056 0.000007
01010111011111101010001111 0.000001 0.000002
00100110111111111000001100 0.000872 0.000050
11000001000100001110100010 0.000008 0.000006
11001001000000000111110011 0.000826 0.000063
11011001000000000111110010 0.000645 0.000050
10001000000100010101100100 0.000204 0.000003
00001000000100111100000101 0.000791 0.000020
11001000000100001110100011 0.000083 0.000013
00101000101110111100000100 0.000372 0.000016
01111111111111101010001110 0.000045 0.000015
11011011001000000111111110 0.000058 0.000011
11000001001000000111110011 0.000486 0.000011
10001000000100011100000000 0.000627 0.000031
10101010000100111100001001 0.000014 0.000015
01110111111011101011011011 0.000878 0.000037
00111010111111111000001000 0.001296 0.000057
00000010011111111100001100 0.000003 0.000002
11010011000000000111110110 0.002801 0.000085
11000101000000000111110111 0.001276 0.000046
11011011000000000111111010 0.002929 0.000117
01110111111011100011111001 0.001196 0.000030
11010111110001000011111010 0.000188 0.000014
10001110000100010100101100 0.000009 0.000007
10000000001100111100000110 0.000003 0.000002
00100110111111111000001001 0.001263 0.000053
01110111111011100011111111 0.000641 0.000029
00101110111111110000011101 0.000017 0.000002
00101110111111111000000100 0.002483 0.000082
11010011000000000101111011 0.000004 0.000003
11010101000000000111111011 0.000388 0.000014
01111111111010100011111011 0.000028 0.000005
10001000000100010100100101 0.001523 0.000067
10000000000000010101100000 0.000009 0.000004
01110111111010101011001011 0.000026 0.000008
00100100111111111000001000 0.000253 0.000022
00110110111111111000001000 0.001203 0.000085
01000101111011000011110011 0.000031 0.000003
11001001000000000111110110 0.001235 0.000077
00101110110111111000000100 0.000119 0.000005
00101010111111111000000001 0.000415 0.000052
10101000000100010101110101 0.000014 0.000002
00101010110111111000001001 0.000138 0.000009
00000100110001000011110000 0.000001 0.000002
