Node_Config Probability Error
1010000101011100001101 0.000030 0.000006
0101111011110001010001 0.000158 0.000056
1010000101011100000000 0.000021 0.000002
0101111011100011110001 0.000509 0.000047
0101011011100011011111 0.000006 0.000002
0101111011101011011010 0.000811 0.000057
1010000100001110110110 0.000018 0.000010
1010000100011100001111 0.000292 0.000006
0100111011100011111011 0.000180 0.000037
1010000100011100000110 0.002161 0.000081
1001110011000011111110 0.000067 0.000006
0111110111111000001101 0.001039 0.000061
1011000000000111110111 0.000179 0.000013
0111110111111010001001 0.000020 0.000018
0001010001000011111011 0.000236 0.000004
0101111011100011110111 0.000491 0.000023
1110001000000111110110 0.000062 0.000009
0101111011101011010110 0.000086 0.000004
1010000100010100101100 0.000229 0.000031
0011011011000011110111 0.000002 0.000002
0101110011101011011010 0.000008 0.000002
1110000000000111111111 0.000256 0.000004
0111111110111000000000 0.000139 0.000021
0001011011000011110110 0.000058 0.000011
1001010001000011111110 0.000156 0.000018
0101111011100011110110 0.000303 0.000020
0001111001000011110011 0.000032 0.000013
1001001000000111111111 0.000232 0.000006
0001111111111000001000 0.000179 0.000019
1000000100000101110111 0.000011 0.000009
0000010001000011110011 0.000008 0.000004
1011000100111100000101 0.000048 0.000009
1000111011000011110011 0.000015 0.000015
1111000000000111110110 0.000011 0.000009
0111111111111010001101 0.000182 0.000052
1010000100001110100011 0.000423 0.000006
0001110011000011111011 0.000150 0.000013
0111101110111000000101 0.000209 0.000019
1001000000000011111010 0.000085 0.000022
1010000100011100001100 0.001194 0.000013
0110001110111110000011 0.000003 0.000004
0110101110111100000000 0.000079 0.000026
1010000100011100000010 0.000864 0.000078
1010000100111100000001 0.000398 0.000028
0100001011000111111111 0.000002 0.000002
0101111011110011111001 0.000218 0.000024
0001111011000011110011 0.000185 0.000019
0101111011110011111101 0.000198 0.000018
0111111111111010000001 0.000191 0.000030
0111111011000011111011 0.000056 0.000028
1001011011000011111110 0.000035 0.000008
0110111110111000001000 0.000020 0.000006
0111111011100011111110 0.000055 0.000013
1001110011100011110000 0.000003 0.000004
1000010001000111111010 0.000233 0.000023
1110001110111100001010 0.000002 0.000002
0111110111111000001001 0.001833 0.000022
1000010001000111111011 0.000255 0.000013
1000000001000111110010 0.000108 0.000015
1000010001000111110011 0.000215 0.000030
1010000100001110101010 0.000688 0.000011
0000111011000011111011 0.000035 0.000015
1001000000000101111110 0.000026 0.000015
1010000100111100001110 0.000052 0.000017
0110111011100011111111 0.000023 0.000013
0001110111111000000100 0.000068 0.000006
1111000000000111110011 0.000008 0.000002
1000000000010100110101 0.000015 0.000006
0100111111111000000001 0.000200 0.000010
1111000100111100000100 0.000027 0.000007
0001111011000011111101 0.000014 0.000007
0101111011000011110110 0.000180 0.000011
1000010000000111110010 0.000002 0.000002
1010000100001110100010 0.001579 0.000095
0111111010000011111111 0.000017 0.000009
1100111011000011110010 0.000053 0.000002
1001011001000011111010 0.000058 0.000006
0001011001000011111110 0.000026 0.000013
0001010101101010011010 0.000002 0.000002
0001111011110001010101 0.000041 0.000013
1100001010000111111110 0.000018 0.000004
0001110111111000000001 0.000130 0.000013
0001111011000011111110 0.000089 0.000021
1110001100010100111101 0.000003 0.000004
0001001101111100000101 0.000002 0.000002
1010000100111100000110 0.000148 0.000019
0101111011000011110111 0.000280 0.000017
1010000100001100100110 0.000047 0.000002
0101110111111000000100 0.000035 0.000008
1001010001000011111011 0.000558 0.000036
1000010001000011111011 0.000194 0.000028
0001110101111000000001 0.000171 0.000002
0111100100111000001100 0.000008 0.000004
1110000100111100000100 0.000323 0.000013
0101111011101011111000 0.000091 0.000024
1011000100111100001100 0.000080 0.000013
0110111110101010001010 0.000002 0.000002
1110100100111100000100 0.000083 0.000006
0111101110111000000100 0.000238 0.000028
1010000100011100001110 0.000564 0.000020
1010000000000101110011 0.000017 0.000012
0110101110111100001101 0.000370 0.000044
0111111010101010011010 0.000005 0.000004
0111111010000011110011 0.000021 0.000018
0001111011000011111011 0.000268 0.000006
0101111011100011110101 0.000177 0.000011
0100111011101011001011 0.000003 0.000002
0110001100111100001111 0.000020 0.000009
1010000100001110110010 0.000058 0.000017
0101110001000011111010 0.000002 0.000002
1000000100000101110110 0.000012 0.000008
0100011011100011111111 0.000035 0.000008
